[ T-Deposit ]
    title = Bragg peak in pouch
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =  0.5000000      # maximum value of r-mesh points
#    rdel =  0.5000000      # mesh width of r-mesh points
       nr =      1          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  5.00000E-01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   97.00000      # minimum value of z-mesh points
     zmax =   100.0000      # maximum value of z-mesh points
#    zdel =  3.0000000E-02  # mesh width of z-mesh points
       nz =    100          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           9.70000E+01  9.70300E+01  9.70600E+01  9.70900E+01  9.71200E+01
#           9.71500E+01  9.71800E+01  9.72100E+01  9.72400E+01  9.72700E+01
#           9.73000E+01  9.73300E+01  9.73600E+01  9.73900E+01  9.74200E+01
#           9.74500E+01  9.74800E+01  9.75100E+01  9.75400E+01  9.75700E+01
#           9.76000E+01  9.76300E+01  9.76600E+01  9.76900E+01  9.77200E+01
#           9.77500E+01  9.77800E+01  9.78100E+01  9.78400E+01  9.78700E+01
#           9.79000E+01  9.79300E+01  9.79600E+01  9.79900E+01  9.80200E+01
#           9.80500E+01  9.80800E+01  9.81100E+01  9.81400E+01  9.81700E+01
#           9.82000E+01  9.82300E+01  9.82600E+01  9.82900E+01  9.83200E+01
#           9.83500E+01  9.83800E+01  9.84100E+01  9.84400E+01  9.84700E+01
#           9.85000E+01  9.85300E+01  9.85600E+01  9.85900E+01  9.86200E+01
#           9.86500E+01  9.86800E+01  9.87100E+01  9.87400E+01  9.87700E+01
#           9.88000E+01  9.88300E+01  9.88600E+01  9.88900E+01  9.89200E+01
#           9.89500E+01  9.89800E+01  9.90100E+01  9.90400E+01  9.90700E+01
#           9.91000E+01  9.91300E+01  9.91600E+01  9.91900E+01  9.92200E+01
#           9.92500E+01  9.92800E+01  9.93100E+01  9.93400E+01  9.93700E+01
#           9.94000E+01  9.94300E+01  9.94600E+01  9.94900E+01  9.95200E+01
#           9.95500E+01  9.95800E+01  9.96100E+01  9.96400E+01  9.96700E+01
#           9.97000E+01  9.97300E+01  9.97600E+01  9.97900E+01  9.98200E+01
#           9.98500E+01  9.98800E+01  9.99100E+01  9.99400E+01  9.99700E+01
#           1.00000E+02
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = bragg_pouch_zA.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         106 (  0)           0 (  0)         106 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1
#   r = (   0.0000E+00  -   5.0000E-01  )

x: z [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n 
#  z-lower      z-upper        proton    r.err 
   9.7000E+01   9.7030E+01   5.4395E-03  0.0149
   9.7030E+01   9.7060E+01   5.4396E-03  0.0144
   9.7060E+01   9.7090E+01   5.3312E-03  0.0143
   9.7090E+01   9.7120E+01   5.3963E-03  0.0148
   9.7120E+01   9.7150E+01   5.2990E-03  0.0141
   9.7150E+01   9.7180E+01   5.4048E-03  0.0150
   9.7180E+01   9.7210E+01   5.4497E-03  0.0150
   9.7210E+01   9.7240E+01   5.3843E-03  0.0143
   9.7240E+01   9.7270E+01   5.3111E-03  0.0146
   9.7270E+01   9.7300E+01   5.3113E-03  0.0142
   9.7300E+01   9.7330E+01   5.3985E-03  0.0146
   9.7330E+01   9.7360E+01   5.3963E-03  0.0147
   9.7360E+01   9.7390E+01   5.2849E-03  0.0141
   9.7390E+01   9.7420E+01   5.2826E-03  0.0141
   9.7420E+01   9.7450E+01   5.4409E-03  0.0151
   9.7450E+01   9.7480E+01   5.2444E-03  0.0145
   9.7480E+01   9.7510E+01   5.3557E-03  0.0151
   9.7510E+01   9.7540E+01   5.4262E-03  0.0144
   9.7540E+01   9.7570E+01   5.4137E-03  0.0152
   9.7570E+01   9.7600E+01   5.3561E-03  0.0146
   9.7600E+01   9.7630E+01   5.2437E-03  0.0144
   9.7630E+01   9.7660E+01   5.3569E-03  0.0146
   9.7660E+01   9.7690E+01   5.3358E-03  0.0149
   9.7690E+01   9.7720E+01   5.3459E-03  0.0151
   9.7720E+01   9.7750E+01   5.2856E-03  0.0146
   9.7750E+01   9.7780E+01   5.3115E-03  0.0146
   9.7780E+01   9.7810E+01   5.4126E-03  0.0149
   9.7810E+01   9.7840E+01   5.4594E-03  0.0151
   9.7840E+01   9.7870E+01   5.2293E-03  0.0145
   9.7870E+01   9.7900E+01   5.4656E-03  0.0152
   9.7900E+01   9.7930E+01   5.3551E-03  0.0149
   9.7930E+01   9.7960E+01   5.3458E-03  0.0145
   9.7960E+01   9.7990E+01   5.3596E-03  0.0152
   9.7990E+01   9.8020E+01   5.4362E-03  0.0155
   9.8020E+01   9.8050E+01   5.2983E-03  0.0149
   9.8050E+01   9.8080E+01   5.3012E-03  0.0147
   9.8080E+01   9.8110E+01   5.3093E-03  0.0149
   9.8110E+01   9.8140E+01   5.1865E-03  0.0151
   9.8140E+01   9.8170E+01   5.4522E-03  0.0187
   9.8170E+01   9.8200E+01   5.3972E-03  0.0185
   9.8200E+01   9.8230E+01   5.2391E-03  0.0170
   9.8230E+01   9.8260E+01   5.3254E-03  0.0152
   9.8260E+01   9.8290E+01   5.2978E-03  0.0147
   9.8290E+01   9.8320E+01   5.2813E-03  0.0147
   9.8320E+01   9.8350E+01   5.9863E-03  0.0112
   9.8350E+01   9.8380E+01   6.6958E-03  0.0089
   9.8380E+01   9.8410E+01   7.5554E-03  0.0092
   9.8410E+01   9.8440E+01   8.3002E-03  0.0094
   9.8440E+01   9.8470E+01   8.2319E-03  0.0098
   9.8470E+01   9.8500E+01   8.0539E-03  0.0101
   9.8500E+01   9.8530E+01   7.9600E-03  0.0106
   9.8530E+01   9.8560E+01   7.7186E-03  0.0115
   9.8560E+01   9.8590E+01   7.1814E-03  0.0128
   9.8590E+01   9.8620E+01   3.2717E-03  0.0167
   9.8620E+01   9.8650E+01   0.0000E+00  0.0000
   9.8650E+01   9.8680E+01   0.0000E+00  0.0000
