
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7002     6.705902E-01 -6.882276E-01  9.840500E+01
     600    7002     7.823549E-01 -6.882276E-01  9.840500E+01
     600    7002     8.941196E-01 -6.882276E-01  9.840500E+01
     600    7002    -8.941157E-01 -5.823452E-01  9.840500E+01
     600    7002    -7.823510E-01 -5.823452E-01  9.840500E+01
     600    7002    -6.705863E-01 -5.823452E-01  9.840500E+01
     600    7002    -5.588216E-01 -5.823452E-01  9.840500E+01
     600    7002    -4.470568E-01 -5.823452E-01  9.840500E+01
     600    7002    -3.352921E-01 -5.823452E-01  9.840500E+01
     600    7002    -2.235274E-01 -5.823452E-01  9.840500E+01
     600    7002    -1.117627E-01 -5.823452E-01  9.840500E+01
     600    7002     1.975308E-06 -5.823452E-01  9.840500E+01
     600    7002     1.117667E-01 -5.823452E-01  9.840500E+01
     600    7002     2.235314E-01 -5.823452E-01  9.840500E+01
     600    7002     3.352961E-01 -5.823452E-01  9.840500E+01
     600    7002     4.470608E-01 -5.823452E-01  9.840500E+01
     600    7002     5.588255E-01 -5.823452E-01  9.840500E+01
     600    7002     6.705902E-01 -5.823452E-01  9.840500E+01
     600    7002     7.823549E-01 -5.823452E-01  9.840500E+01
     600    7002     8.941196E-01 -5.823452E-01  9.840500E+01
     600    7002    -8.941157E-01 -4.764628E-01  9.840500E+01
     600    7002    -7.823510E-01 -4.764628E-01  9.840500E+01
     600    7002    -6.705863E-01 -4.764628E-01  9.840500E+01
     600    7002    -5.588216E-01 -4.764628E-01  9.840500E+01
     600    7002    -4.470568E-01 -4.764628E-01  9.840500E+01
     600    7002    -3.352921E-01 -4.764628E-01  9.840500E+01
     600    7002    -2.235274E-01 -4.764628E-01  9.840500E+01
     600    7002    -1.117627E-01 -4.764628E-01  9.840500E+01
     600    7002     1.975308E-06 -4.764628E-01  9.840500E+01
     600    7002     1.117667E-01 -4.764628E-01  9.840500E+01
     600    7002     2.235314E-01 -4.764628E-01  9.840500E+01
     600    7002     3.352961E-01 -4.764628E-01  9.840500E+01
     600    7002     4.470608E-01 -4.764628E-01  9.840500E+01
     600    7002     5.588255E-01 -4.764628E-01  9.840500E+01
     600    7002     6.705902E-01 -4.764628E-01  9.840500E+01
     600    7002     7.823549E-01 -4.764628E-01  9.840500E+01
     600    7002     8.941196E-01 -4.764628E-01  9.840500E+01
     600    7002    -8.941157E-01 -3.705805E-01  9.840500E+01
     600    7002    -7.823510E-01 -3.705805E-01  9.840500E+01
     600    7002    -6.705863E-01 -3.705805E-01  9.840500E+01
     600    7002    -5.588216E-01 -3.705805E-01  9.840500E+01
     600    7002    -4.470568E-01 -3.705805E-01  9.840500E+01
     600    7002    -3.352921E-01 -3.705805E-01  9.840500E+01
     600    7002    -2.235274E-01 -3.705805E-01  9.840500E+01
     600    7002    -1.117627E-01 -3.705805E-01  9.840500E+01
     600    7002     1.975308E-06 -3.705805E-01  9.840500E+01
     600    7002     1.117667E-01 -3.705805E-01  9.840500E+01
     600    7002     2.235314E-01 -3.705805E-01  9.840500E+01
     600    7002     3.352961E-01 -3.705805E-01  9.840500E+01
     600    7002     4.470608E-01 -3.705805E-01  9.840500E+01
     600    7002     5.588255E-01 -3.705805E-01  9.840500E+01
     600    7002     6.705902E-01 -3.705805E-01  9.840500E+01
     600    7002     7.823549E-01 -3.705805E-01  9.840500E+01
     600    7002     8.941196E-01 -3.705805E-01  9.840500E+01
     600    7002    -8.941157E-01 -2.646981E-01  9.840500E+01
     600    7002    -7.823510E-01 -2.646981E-01  9.840500E+01
     600    7002    -6.705863E-01 -2.646981E-01  9.840500E+01
     600    7002    -5.588216E-01 -2.646981E-01  9.840500E+01
     600    7002    -4.470568E-01 -2.646981E-01  9.840500E+01
     600    7002    -3.352921E-01 -2.646981E-01  9.840500E+01
     600    7002    -2.235274E-01 -2.646981E-01  9.840500E+01
     600    7002    -1.117627E-01 -2.646981E-01  9.840500E+01
     600    7002     1.975308E-06 -2.646981E-01  9.840500E+01
     600    7002     1.117667E-01 -2.646981E-01  9.840500E+01
     600    7002     2.235314E-01 -2.646981E-01  9.840500E+01
     600    7002     3.352961E-01 -2.646981E-01  9.840500E+01
     600    7002     4.470608E-01 -2.646981E-01  9.840500E+01
     600    7002     5.588255E-01 -2.646981E-01  9.840500E+01
     600    7002     6.705902E-01 -2.646981E-01  9.840500E+01
     600    7002     7.823549E-01 -2.646981E-01  9.840500E+01
     600    7002     8.941196E-01 -2.646981E-01  9.840500E+01

Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7002    -8.941157E-01 -1.217639E+00  9.840500E+01
     600    7002    -7.823510E-01 -1.217639E+00  9.840500E+01
     600    7002    -6.705863E-01 -1.217639E+00  9.840500E+01
     600    7002    -5.588216E-01 -1.217639E+00  9.840500E+01
     600    7002    -4.470568E-01 -1.217639E+00  9.840500E+01
     600    7002    -3.352921E-01 -1.217639E+00  9.840500E+01
     600    7002    -2.235274E-01 -1.217639E+00  9.840500E+01
     600    7002    -1.117627E-01 -1.217639E+00  9.840500E+01
     600    7002     1.975308E-06 -1.217639E+00  9.840500E+01
     600    7002     1.117667E-01 -1.217639E+00  9.840500E+01
     600    7002     2.235314E-01 -1.217639E+00  9.840500E+01
     600    7002     3.352961E-01 -1.217639E+00  9.840500E+01
     600    7002     4.470608E-01 -1.217639E+00  9.840500E+01
     600    7002     5.588255E-01 -1.217639E+00  9.840500E+01
     600    7002     6.705902E-01 -1.217639E+00  9.840500E+01
     600    7002     7.823549E-01 -1.217639E+00  9.840500E+01
     600    7002     8.941196E-01 -1.217639E+00  9.840500E+01
     600    7002    -8.941157E-01 -1.111757E+00  9.840500E+01
     600    7002    -7.823510E-01 -1.111757E+00  9.840500E+01
     600    7002    -6.705863E-01 -1.111757E+00  9.840500E+01
     600    7002    -5.588216E-01 -1.111757E+00  9.840500E+01
     600    7002    -4.470568E-01 -1.111757E+00  9.840500E+01
     600    7002    -3.352921E-01 -1.111757E+00  9.840500E+01
     600    7002    -2.235274E-01 -1.111757E+00  9.840500E+01
     600    7002    -1.117627E-01 -1.111757E+00  9.840500E+01
     600    7002     1.975308E-06 -1.111757E+00  9.840500E+01
     600    7002     1.117667E-01 -1.111757E+00  9.840500E+01
     600    7002     2.235314E-01 -1.111757E+00  9.840500E+01
     600    7002     3.352961E-01 -1.111757E+00  9.840500E+01
     600    7002     4.470608E-01 -1.111757E+00  9.840500E+01
     600    7002     5.588255E-01 -1.111757E+00  9.840500E+01
     600    7002     6.705902E-01 -1.111757E+00  9.840500E+01
     600    7002     7.823549E-01 -1.111757E+00  9.840500E+01
     600    7002     8.941196E-01 -1.111757E+00  9.840500E+01
     600    7002    -8.941157E-01 -1.005875E+00  9.840500E+01
     600    7002    -7.823510E-01 -1.005875E+00  9.840500E+01
     600    7002    -6.705863E-01 -1.005875E+00  9.840500E+01
     600    7002    -5.588216E-01 -1.005875E+00  9.840500E+01
     600    7002    -4.470568E-01 -1.005875E+00  9.840500E+01
     600    7002    -3.352921E-01 -1.005875E+00  9.840500E+01
     600    7002    -2.235274E-01 -1.005875E+00  9.840500E+01
     600    7002    -1.117627E-01 -1.005875E+00  9.840500E+01
     600    7002     1.975308E-06 -1.005875E+00  9.840500E+01
     600    7002     1.117667E-01 -1.005875E+00  9.840500E+01
     600    7002     2.235314E-01 -1.005875E+00  9.840500E+01
     600    7002     3.352961E-01 -1.005875E+00  9.840500E+01
     600    7002     4.470608E-01 -1.005875E+00  9.840500E+01
     600    7002     5.588255E-01 -1.005875E+00  9.840500E+01
     600    7002     6.705902E-01 -1.005875E+00  9.840500E+01
     600    7002     7.823549E-01 -1.005875E+00  9.840500E+01
     600    7002     8.941196E-01 -1.005875E+00  9.840500E+01
     600    7002    -8.941157E-01 -8.999923E-01  9.840500E+01
     600    7002    -7.823510E-01 -8.999923E-01  9.840500E+01
     600    7002    -6.705863E-01 -8.999923E-01  9.840500E+01
     600    7002    -5.588216E-01 -8.999923E-01  9.840500E+01
     600    7002    -4.470568E-01 -8.999923E-01  9.840500E+01
     600    7002    -3.352921E-01 -8.999923E-01  9.840500E+01
     600    7002    -2.235274E-01 -8.999923E-01  9.840500E+01
     600    7002    -1.117627E-01 -8.999923E-01  9.840500E+01
     600    7002     1.975308E-06 -8.999923E-01  9.840500E+01
     600    7002     1.117667E-01 -8.999923E-01  9.840500E+01
     600    7002     2.235314E-01 -8.999923E-01  9.840500E+01
     600    7002     3.352961E-01 -8.999923E-01  9.840500E+01
     600    7002     4.470608E-01 -8.999923E-01  9.840500E+01
     600    7002     5.588255E-01 -8.999923E-01  9.840500E+01
     600    7002     6.705902E-01 -8.999923E-01  9.840500E+01
     600    7002     7.823549E-01 -8.999923E-01  9.840500E+01
     600    7002     8.941196E-01 -8.999923E-01  9.840500E+01
     600    7002    -8.941157E-01 -7.941099E-01  9.840500E+01
     600    7002    -7.823510E-01 -7.941099E-01  9.840500E+01
     600    7002    -6.705863E-01 -7.941099E-01  9.840500E+01
     600    7002    -5.588216E-01 -7.941099E-01  9.840500E+01
     600    7002    -4.470568E-01 -7.941099E-01  9.840500E+01
     600    7002    -3.352921E-01 -7.941099E-01  9.840500E+01
     600    7002    -2.235274E-01 -7.941099E-01  9.840500E+01
     600    7002    -1.117627E-01 -7.941099E-01  9.840500E+01
     600    7002     1.975308E-06 -7.941099E-01  9.840500E+01
     600    7002     1.117667E-01 -7.941099E-01  9.840500E+01
     600    7002     2.235314E-01 -7.941099E-01  9.840500E+01
     600    7002     3.352961E-01 -7.941099E-01  9.840500E+01
     600    7002     4.470608E-01 -7.941099E-01  9.840500E+01
     600    7002     5.588255E-01 -7.941099E-01  9.840500E+01
     600    7002     6.705902E-01 -7.941099E-01  9.840500E+01
     600    7002     7.823549E-01 -7.941099E-01  9.840500E+01
     600    7002     8.941196E-01 -7.941099E-01  9.840500E+01
     600    7002    -8.941157E-01 -6.882276E-01  9.840500E+01
     600    7002    -7.823510E-01 -6.882276E-01  9.840500E+01
     600    7002    -6.705863E-01 -6.882276E-01  9.840500E+01
     600    7002    -5.588216E-01 -6.882276E-01  9.840500E+01
     600    7002    -4.470568E-01 -6.882276E-01  9.840500E+01
     600    7002    -3.352921E-01 -6.882276E-01  9.840500E+01
     600    7002    -2.235274E-01 -6.882276E-01  9.840500E+01
     600    7002    -1.117627E-01 -6.882276E-01  9.840500E+01
     600    7002     1.975308E-06 -6.882276E-01  9.840500E+01
     600    7002     1.117667E-01 -6.882276E-01  9.840500E+01
     600    7002     2.235314E-01 -6.882276E-01  9.840500E+01
     600    7002     3.352961E-01 -6.882276E-01  9.840500E+01
     600    7002     4.470608E-01 -6.882276E-01  9.840500E+01
     600    7002     5.588255E-01 -6.882276E-01  9.840500E+01
     600    7002     6.705902E-01 -6.882276E-01  9.840500E+01
     600    7002     7.823549E-01 -6.882276E-01  9.840500E+01
     600    7002     8.941196E-01 -6.882276E-01  9.840500E+01
     600    7002    -8.941157E-01 -5.823452E-01  9.840500E+01
     600    7002    -7.823510E-01 -5.823452E-01  9.840500E+01
     600    7002    -6.705863E-01 -5.823452E-01  9.840500E+01
     600    7002    -5.588216E-01 -5.823452E-01  9.840500E+01
     600    7002    -4.470568E-01 -5.823452E-01  9.840500E+01
     600    7002    -3.352921E-01 -5.823452E-01  9.840500E+01
     600    7002    -2.235274E-01 -5.823452E-01  9.840500E+01
     600    7002    -1.117627E-01 -5.823452E-01  9.840500E+01
     600    7002     1.975308E-06 -5.823452E-01  9.840500E+01
     600    7002     1.117667E-01 -5.823452E-01  9.840500E+01
     600    7002     2.235314E-01 -5.823452E-01  9.840500E+01
     600    7002     3.352961E-01 -5.823452E-01  9.840500E+01
     600    7002     4.470608E-01 -5.823452E-01  9.840500E+01
     600    7002     5.588255E-01 -5.823452E-01  9.840500E+01
     600    7002     6.705902E-01 -5.823452E-01  9.840500E+01
     600    7002     7.823549E-01 -5.823452E-01  9.840500E+01
     600    7002     8.941196E-01 -5.823452E-01  9.840500E+01
     600    7002    -8.941157E-01 -4.764628E-01  9.840500E+01
     600    7002    -7.823510E-01 -4.764628E-01  9.840500E+01
     600    7002    -6.705863E-01 -4.764628E-01  9.840500E+01
     600    7002    -5.588216E-01 -4.764628E-01  9.840500E+01
     600    7002    -4.470568E-01 -4.764628E-01  9.840500E+01
     600    7002    -3.352921E-01 -4.764628E-01  9.840500E+01
     600    7002    -2.235274E-01 -4.764628E-01  9.840500E+01
     600    7002    -1.117627E-01 -4.764628E-01  9.840500E+01
     600    7002     1.975308E-06 -4.764628E-01  9.840500E+01
     600    7002     1.117667E-01 -4.764628E-01  9.840500E+01
     600    7002     2.235314E-01 -4.764628E-01  9.840500E+01
     600    7002     3.352961E-01 -4.764628E-01  9.840500E+01
     600    7002     4.470608E-01 -4.764628E-01  9.840500E+01
     600    7002     5.588255E-01 -4.764628E-01  9.840500E+01
     600    7002     6.705902E-01 -4.764628E-01  9.840500E+01
     600    7002     7.823549E-01 -4.764628E-01  9.840500E+01
     600    7002     8.941196E-01 -4.764628E-01  9.840500E+01
     600    7002    -8.941157E-01 -3.705805E-01  9.840500E+01
     600    7002    -7.823510E-01 -3.705805E-01  9.840500E+01
     600    7002    -6.705863E-01 -3.705805E-01  9.840500E+01
     600    7002    -5.588216E-01 -3.705805E-01  9.840500E+01
     600    7002    -4.470568E-01 -3.705805E-01  9.840500E+01
     600    7002    -3.352921E-01 -3.705805E-01  9.840500E+01
     600    7002    -2.235274E-01 -3.705805E-01  9.840500E+01
     600    7002    -1.117627E-01 -3.705805E-01  9.840500E+01
     600    7002     1.975308E-06 -3.705805E-01  9.840500E+01
     600    7002     1.117667E-01 -3.705805E-01  9.840500E+01
     600    7002     2.235314E-01 -3.705805E-01  9.840500E+01
     600    7002     3.352961E-01 -3.705805E-01  9.840500E+01
     600    7002     4.470608E-01 -3.705805E-01  9.840500E+01
     600    7002     5.588255E-01 -3.705805E-01  9.840500E+01
     600    7002     6.705902E-01 -3.705805E-01  9.840500E+01
     600    7002     7.823549E-01 -3.705805E-01  9.840500E+01
     600    7002     8.941196E-01 -3.705805E-01  9.840500E+01
     600    7002    -8.941157E-01 -2.646981E-01  9.840500E+01
     600    7002    -7.823510E-01 -2.646981E-01  9.840500E+01
     600    7002    -6.705863E-01 -2.646981E-01  9.840500E+01
     600    7002    -5.588216E-01 -2.646981E-01  9.840500E+01
     600    7002    -4.470568E-01 -2.646981E-01  9.840500E+01
     600    7002    -3.352921E-01 -2.646981E-01  9.840500E+01
     600    7002    -2.235274E-01 -2.646981E-01  9.840500E+01
     600    7002    -1.117627E-01 -2.646981E-01  9.840500E+01
     600    7002     1.975308E-06 -2.646981E-01  9.840500E+01
     600    7002     1.117667E-01 -2.646981E-01  9.840500E+01
     600    7002     2.235314E-01 -2.646981E-01  9.840500E+01
     600    7002     3.352961E-01 -2.646981E-01  9.840500E+01
     600    7002     4.470608E-01 -2.646981E-01  9.840500E+01
     600    7002     5.588255E-01 -2.646981E-01  9.840500E+01
     600    7002     6.705902E-01 -2.646981E-01  9.840500E+01
     600    7002     7.823549E-01 -2.646981E-01  9.840500E+01
     600    7002     8.941196E-01 -2.646981E-01  9.840500E+01

Errors of cell definition in EPS Page No. =   2
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7004    -8.941157E-01 -1.217639E+00  9.845500E+01
     600    7004    -7.823510E-01 -1.217639E+00  9.845500E+01
     600    7004    -6.705863E-01 -1.217639E+00  9.845500E+01
     600    7004    -5.588216E-01 -1.217639E+00  9.845500E+01
     600    7004    -4.470568E-01 -1.217639E+00  9.845500E+01
     600    7004    -3.352921E-01 -1.217639E+00  9.845500E+01
     600    7004    -2.235274E-01 -1.217639E+00  9.845500E+01
     600    7004    -1.117627E-01 -1.217639E+00  9.845500E+01
     600    7004     1.975308E-06 -1.217639E+00  9.845500E+01
     600    7004     1.117667E-01 -1.217639E+00  9.845500E+01
     600    7004     2.235314E-01 -1.217639E+00  9.845500E+01
     600    7004     3.352961E-01 -1.217639E+00  9.845500E+01
     600    7004     4.470608E-01 -1.217639E+00  9.845500E+01
     600    7004     5.588255E-01 -1.217639E+00  9.845500E+01
     600    7004     6.705902E-01 -1.217639E+00  9.845500E+01
     600    7004     7.823549E-01 -1.217639E+00  9.845500E+01
     600    7004     8.941196E-01 -1.217639E+00  9.845500E+01
     600    7004    -8.941157E-01 -1.111757E+00  9.845500E+01
     600    7004    -7.823510E-01 -1.111757E+00  9.845500E+01
     600    7004    -6.705863E-01 -1.111757E+00  9.845500E+01
     600    7004    -5.588216E-01 -1.111757E+00  9.845500E+01
     600    7004    -4.470568E-01 -1.111757E+00  9.845500E+01
     600    7004    -3.352921E-01 -1.111757E+00  9.845500E+01
     600    7004    -2.235274E-01 -1.111757E+00  9.845500E+01
     600    7004    -1.117627E-01 -1.111757E+00  9.845500E+01
     600    7004     1.975308E-06 -1.111757E+00  9.845500E+01
     600    7004     1.117667E-01 -1.111757E+00  9.845500E+01
     600    7004     2.235314E-01 -1.111757E+00  9.845500E+01
     600    7004     3.352961E-01 -1.111757E+00  9.845500E+01
     600    7004     4.470608E-01 -1.111757E+00  9.845500E+01
     600    7004     5.588255E-01 -1.111757E+00  9.845500E+01
     600    7004     6.705902E-01 -1.111757E+00  9.845500E+01
     600    7004     7.823549E-01 -1.111757E+00  9.845500E+01
     600    7004     8.941196E-01 -1.111757E+00  9.845500E+01
     600    7004    -8.941157E-01 -1.005875E+00  9.845500E+01
     600    7004    -7.823510E-01 -1.005875E+00  9.845500E+01
     600    7004    -6.705863E-01 -1.005875E+00  9.845500E+01
     600    7004    -5.588216E-01 -1.005875E+00  9.845500E+01
     600    7004    -4.470568E-01 -1.005875E+00  9.845500E+01
     600    7004    -3.352921E-01 -1.005875E+00  9.845500E+01
     600    7004    -2.235274E-01 -1.005875E+00  9.845500E+01
     600    7004    -1.117627E-01 -1.005875E+00  9.845500E+01
     600    7004     1.975308E-06 -1.005875E+00  9.845500E+01
     600    7004     1.117667E-01 -1.005875E+00  9.845500E+01
     600    7004     2.235314E-01 -1.005875E+00  9.845500E+01
     600    7004     3.352961E-01 -1.005875E+00  9.845500E+01
     600    7004     4.470608E-01 -1.005875E+00  9.845500E+01
     600    7004     5.588255E-01 -1.005875E+00  9.845500E+01
     600    7004     6.705902E-01 -1.005875E+00  9.845500E+01
     600    7004     7.823549E-01 -1.005875E+00  9.845500E+01
     600    7004     8.941196E-01 -1.005875E+00  9.845500E+01
     600    7004    -8.941157E-01 -8.999923E-01  9.845500E+01
     600    7004    -7.823510E-01 -8.999923E-01  9.845500E+01
     600    7004    -6.705863E-01 -8.999923E-01  9.845500E+01
     600    7004    -5.588216E-01 -8.999923E-01  9.845500E+01
     600    7004    -4.470568E-01 -8.999923E-01  9.845500E+01
     600    7004    -3.352921E-01 -8.999923E-01  9.845500E+01
     600    7004    -2.235274E-01 -8.999923E-01  9.845500E+01
     600    7004    -1.117627E-01 -8.999923E-01  9.845500E+01
     600    7004     1.975308E-06 -8.999923E-01  9.845500E+01
     600    7004     1.117667E-01 -8.999923E-01  9.845500E+01
     600    7004     2.235314E-01 -8.999923E-01  9.845500E+01
     600    7004     3.352961E-01 -8.999923E-01  9.845500E+01
     600    7004     4.470608E-01 -8.999923E-01  9.845500E+01
     600    7004     5.588255E-01 -8.999923E-01  9.845500E+01
     600    7004     6.705902E-01 -8.999923E-01  9.845500E+01
     600    7004     7.823549E-01 -8.999923E-01  9.845500E+01
     600    7004     8.941196E-01 -8.999923E-01  9.845500E+01
     600    7004    -8.941157E-01 -7.941099E-01  9.845500E+01
     600    7004    -7.823510E-01 -7.941099E-01  9.845500E+01
     600    7004    -6.705863E-01 -7.941099E-01  9.845500E+01
     600    7004    -5.588216E-01 -7.941099E-01  9.845500E+01
     600    7004    -4.470568E-01 -7.941099E-01  9.845500E+01
     600    7004    -3.352921E-01 -7.941099E-01  9.845500E+01
     600    7004    -2.235274E-01 -7.941099E-01  9.845500E+01
     600    7004    -1.117627E-01 -7.941099E-01  9.845500E+01
     600    7004     1.975308E-06 -7.941099E-01  9.845500E+01
     600    7004     1.117667E-01 -7.941099E-01  9.845500E+01
     600    7004     2.235314E-01 -7.941099E-01  9.845500E+01
     600    7004     3.352961E-01 -7.941099E-01  9.845500E+01
     600    7004     4.470608E-01 -7.941099E-01  9.845500E+01
     600    7004     5.588255E-01 -7.941099E-01  9.845500E+01
     600    7004     6.705902E-01 -7.941099E-01  9.845500E+01
     600    7004     7.823549E-01 -7.941099E-01  9.845500E+01
     600    7004     8.941196E-01 -7.941099E-01  9.845500E+01
     600    7004    -8.941157E-01 -6.882276E-01  9.845500E+01
     600    7004    -7.823510E-01 -6.882276E-01  9.845500E+01
     600    7004    -6.705863E-01 -6.882276E-01  9.845500E+01
     600    7004    -5.588216E-01 -6.882276E-01  9.845500E+01
     600    7004    -4.470568E-01 -6.882276E-01  9.845500E+01
     600    7004    -3.352921E-01 -6.882276E-01  9.845500E+01
     600    7004    -2.235274E-01 -6.882276E-01  9.845500E+01
     600    7004    -1.117627E-01 -6.882276E-01  9.845500E+01
     600    7004     1.975308E-06 -6.882276E-01  9.845500E+01
     600    7004     1.117667E-01 -6.882276E-01  9.845500E+01
     600    7004     2.235314E-01 -6.882276E-01  9.845500E+01
